,director_name,num_critic_for_reviews,duration,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes
41,John Lasseter,304,106,191450875,Adventure,Cars 2 ,101178,4482,283,English,USA,G,2.00E+08,2011,6.3,2.35,10000
42,Martin Campbell,436,123,116593191,Action,Green Lantern ,223393,17657,550,English,USA,PG-13,2.00E+08,2011,5.6,2.35,24000
43,Lee Unkrich,453,103,414984497,Adventure,Toy Story 3 ,544884,19085,733,English,USA,G,2.00E+08,2010,8.3,1.85,30000
44,McG,422,118,125320003,Action,Terminator Salvation ,286095,27468,974,English,USA,PG-13,2.00E+08,2009,6.6,2.35,0
45,James Wan,424,140,350034110,Action,Furious 7 ,278232,79150,657,English,USA,PG-13,1.90E+08,2015,7.2,2.35,94000
46,Marc Forster,654,123,202351611,Action,World War Z ,465019,32392,995,English,USA,PG-13,1.90E+08,2013,7,2.35,129000
47,Bryan Singer,539,149,233914986,Action,X-Men: Days of Future Past ,514125,91434,752,English,USA,PG-13,2.00E+08,2014,8,2.35,82000
48,J.J. Abrams,590,132,228756232,Action,Star Trek Into Darkness ,395573,21411,1171,English,USA,PG-13,1.90E+08,2013,7.8,2.35,92000
49,Bryan Singer,338,114,65171860,Adventure,Jack the Giant Slayer ,106416,1766,205,English,USA,PG-13,1.95E+08,2013,6.3,2.35,22000
50,Baz Luhrmann,490,143,144812796,Drama,The Great Gatsby ,362912,29770,753,English,Australia,PG-13,1.05E+08,2013,7.3,2.35,115000
51,Mike Newell,306,116,90755643,Action,Prince of Persia: The Sands of Time ,222403,16149,453,English,USA,PG-13,2.00E+08,2010,6.6,2.35,23000
52,Guillermo del Toro,575,131,101785482,Action,Pacific Rim ,381148,19166,1106,English,USA,PG-13,1.90E+08,2013,7,1.85,83000
53,Michael Bay,428,154,352358779,Action,Transformers: Dark of the Moon ,326180,2593,899,English,USA,PG-13,1.95E+08,2011,6.3,2.35,46000
54,Steven Spielberg,470,122,317011114,Action,Indiana Jones and the Kingdom of the Crystal Skull ,333847,14959,2054,English,USA,PG-13,1.85E+08,2008,6.2,2.35,5000
55,Mark Andrews,488,93,237282182,Adventure,Brave ,273556,5005,428,English,USA,PG,1.85E+08,2012,7.2,2.35,39000
56,Justin Lin,322,122,130468626,Action,Star Trek Beyond ,53607,1327,432,English,USA,PG-13,1.85E+08,2016,7.5,2.35,30000
57,Andrew Stanton,421,98,223806889,Adventure,WALL·E ,718837,2975,1043,English,USA,G,1.80E+08,2008,8.4,2.35,16000
58,Brett Ratner,162,91,140080850,Action,Rush Hour 3 ,121084,1125,221,English,USA,PG-13,1.40E+08,2007,6.2,2.35,0
59,Roland Emmerich,367,158,166112167,Action,2012 ,283418,2144,1055,English,USA,PG-13,2.00E+08,2009,5.8,2.35,13000
60,Robert Zemeckis,240,96,137850096,Animation,A Christmas Carol ,72809,48878,249,English,USA,PG,2.00E+08,2009,6.8,2.35,0
61,Lana Wachowski,384,127,47375327,Action,Jupiter Ascending ,139593,47334,720,English,USA,PG-13,1.76E+08,2015,5.4,2.35,44000
62,David Yates,248,110,124051759,Action,The Legend of Tarzan ,42372,21175,239,English,USA,PG-13,1.80E+08,2016,6.6,2.35,29000
63,Andrew Adamson,284,150,291709845,Adventure,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",286506,1317,1463,English,USA,PG,1.80E+08,2005,6.9,2.35,0
64,Bryan Singer,396,144,154985087,Action,X-Men: Apocalypse ,148379,49684,622,English,USA,PG-13,1.78E+08,2016,7.3,2.35,54000
65,Christopher Nolan,645,152,533316061,Action,The Dark Knight ,1676169,57802,4667,English,USA,PG-13,1.85E+08,2008,9,2.35,37000
66,Pete Docter,408,96,292979556,Adventure,Up ,665575,2635,704,English,USA,PG,1.75E+08,2009,8.3,1.85,27000
67,Rob Letterman,219,94,198332128,Action,Monsters vs. Aliens ,114553,2579,187,English,USA,PG,1.75E+08,2009,6.5,2.35,0
68,Jon Favreau,486,126,318298180,Action,Iron Man ,696338,39252,1055,English,USA,PG-13,1.40E+08,2008,7.9,2.35,10000
69,Martin Scorsese,682,126,73820094,Adventure,Hugo ,245333,36017,678,English,USA,PG,1.70E+08,2011,7.5,1.85,42000
70,Barry Sonnenfeld,85,106,113745408,Action,Wild Wild West ,129601,15870,648,English,USA,PG-13,1.70E+08,1999,4.8,1.85,0
71,Rob Cohen,264,112,102176165,Action,The Mummy: Tomb of the Dragon Emperor ,117927,9131,501,English,USA,PG-13,1.45E+08,2008,5.2,2.35,0
72,David Ayer,418,123,161087183,Action,Suicide Squad ,118992,11287,971,English,USA,PG-13,1.75E+08,2016,6.9,2.35,80000
73,Tom Shadyac,186,96,100289690,Comedy,Evan Almighty ,115099,108016,257,English,USA,PG,1.75E+08,2007,5.4,2.35,2000
74,Doug Liman,585,113,100189501,Action,Edge of Tomorrow ,431620,12652,741,English,USA,PG-13,1.78E+08,2014,7.9,2.35,77000
75,Kevin Reynolds,91,176,88246220,Action,Waterworld ,144337,1004,309,English,USA,PG-13,1.75E+08,1995,6.1,1.85,0
76,Stephen Sommers,250,118,150167630,Action,G.I. Joe: The Rise of Cobra ,174578,26683,534,English,USA,PG-13,1.75E+08,2009,5.8,2.35,0
77,Pete Docter,536,95,356454367,Adventure,Inside Out ,345198,2944,773,English,USA,PG,1.75E+08,2015,8.3,1.85,118000
78,Jon Favreau,370,106,362645141,Adventure,The Jungle Book ,106072,32921,398,English,UK,PG,1.75E+08,2016,7.8,1.85,65000
79,Jon Favreau,453,124,312057433,Action,Iron Man 2 ,522371,48638,723,English,USA,PG-13,2.00E+08,2010,7,2.35,18000
80,Rupert Sanders,416,132,155111815,Action,Snow White and the Huntsman ,228554,72881,710,English,USA,PG-13,1.70E+08,2012,6.1,2.35,53000
81,Robert Stromberg,401,97,241407328,Action,Maleficent ,252257,15516,634,English,USA,PG,1.80E+08,2014,7,2.35,89000
82,Matt Reeves,521,130,208543795,Action,Dawn of the Planet of the Apes ,317542,14363,620,English,USA,PG-13,1.70E+08,2014,7.6,1.85,45000
83,Carl Rinsch,218,128,38297305,Action,47 Ronin ,116994,20965,324,English,USA,PG-13,1.75E+08,2013,6.3,2.35,35000
84,Anthony Russo,576,136,259746958,Action,Captain America: The Winter Soldier ,496749,36188,742,English,USA,PG-13,1.70E+08,2014,7.8,2.35,55000
85,Mike Mitchell,226,93,238371987,Adventure,Shrek Forever After ,138661,4628,173,English,USA,PG,1.65E+08,2010,6.4,2.35,0
86,Brad Bird,443,130,93417865,Action,Tomorrowland ,128306,5046,497,English,USA,PG,1.90E+08,2015,6.5,2.2,37000
87,Don Hall,384,102,222487711,Action,Big Hero 6 ,279093,2963,433,English,USA,PG,1.65E+08,2014,7.9,2.39,41000
88,Rich Moore,377,101,189412677,Adventure,Wreck-It Ralph ,272534,4451,345,English,USA,PG,1.65E+08,2012,7.8,2.35,40000
89,Robert Zemeckis,188,100,665426,Adventure,The Polar Express ,120798,16264,444,English,USA,G,1.65E+08,2004,6.6,2.35,10000
90,Roland Emmerich,286,120,102315545,Action,Independence Day: Resurgence ,58137,3233,520,English,USA,PG-13,1.65E+08,2016,5.5,2.35,67000
91,Dean DeBlois,288,98,217387997,Adventure,How to Train Your Dragon ,485430,20453,492,English,USA,PG,1.65E+08,2010,8.2,2.35,33000
92,Jonathan Mostow,280,109,150350192,Action,Terminator 3: Rise of the Machines ,305340,1769,1676,English,USA,R,2.00E+08,2003,6.4,2.35,0
93,James Gunn,653,121,333130696,Action,Guardians of the Galaxy ,682155,32438,1097,English,USA,PG-13,1.70E+08,2014,8.1,2.35,96000
94,Christopher Nolan,712,169,187991439,Adventure,Interstellar ,928227,31488,2725,English,USA,PG-13,1.65E+08,2014,8.6,2.35,349000
95,Christopher Nolan,642,148,292568851,Action,Inception ,1468200,81115,2803,English,USA,PG-13,1.60E+08,2010,8.8,2.35,175000
96,Peter Jackson,645,182,303001229,Adventure,The Hobbit: An Unexpected Journey ,637246,9152,1367,English,USA,PG-13,1.80E+08,2012,7.9,2.35,166000
97,Rob Cohen,187,106,144512310,Action,The Fast and the Furious ,272223,45327,988,English,USA,PG-13,3.80E+07,2001,6.7,2.35,14000
98,David Fincher,362,166,127490802,Drama,The Curious Case of Benjamin Button ,459346,13333,822,English,USA,PG-13,1.50E+08,2008,7.8,2.35,23000
99,Matthew Vaughn,500,132,146405371,Action,X-Men: First Class ,518537,50983,698,English,USA,PG-13,1.60E+08,2011,7.8,2.35,54000
100,Francis Lawrence,389,137,281666058,Adventure,The Hunger Games: Mockingjay - Part 2 ,166137,81385,383,English,USA,PG-13,1.60E+08,2015,6.6,2.35,38000
101,Jon Turteltaub,235,109,63143812,Action,The Sorcerer's Apprentice ,124185,13388,238,English,USA,PG,1.50E+08,2010,6.1,2.35,11000
102,Wolfgang Petersen,231,98,60655503,Action,Poseidon ,82380,92456,629,English,USA,PG-13,1.60E+08,2006,5.6,2.35,0
103,James Bobin,218,113,76846624,Adventure,Alice Through the Looking Glass ,21352,80806,131,English,USA,PG,1.70E+08,2016,6.4,1.85,30000
104,Chris Miller,227,93,320706665,Adventure,Shrek the Third ,211971,4705,326,English,USA,PG,1.60E+08,2007,6.1,1.85,0
105,Duncan Jones,275,123,46978995,Action,Warcraft ,111609,5505,781,English,USA,PG-13,1.60E+08,2016,7.3,2.35,89000
106,Alan Taylor,474,126,89732035,Action,Terminator Genisys ,188457,38873,867,English,USA,PG-13,1.55E+08,2015,6.6,2.35,82000
107,Michael Apted,228,113,104383624,Adventure,The Chronicles of Narnia: The Voyage of the Dawn Treader ,106446,764,227,English,USA,PG,1.55E+08,2010,6.3,1.78,11000
108,Michael Bay,191,184,198539855,Action,Pearl Harbor ,254111,5401,1999,English,USA,PG-13,1.40E+08,2001,6.1,2.35,0
109,Michael Bay,396,144,318759914,Action,Transformers ,513158,2333,1782,English,USA,PG-13,1.50E+08,2007,7.1,2.35,8000
110,Oliver Stone,248,206,34293771,Action,Alexander ,138863,24598,1390,English,Germany,R,1.55E+08,2004,5.5,2.35,0
111,David Yates,329,138,292000866,Adventure,Harry Potter and the Order of the Phoenix ,355137,33433,1108,English,UK,PG-13,1.50E+08,2007,7.5,2.35,0
112,Mike Newell,295,157,289994397,Adventure,Harry Potter and the Goblet of Fire ,385670,53413,1896,English,UK,PG-13,1.50E+08,2005,7.6,2.35,0
113,Peter Berg,318,102,227946274,Action,Hancock ,343648,21584,590,English,USA,PG-13,1.50E+08,2008,6.4,2.35,0
114,Francis Lawrence,323,104,256386216,Drama,I Am Legend ,530870,13076,1413,English,USA,PG-13,1.50E+08,2007,7.2,2.35,11000
115,Tim Burton,276,115,206456431,Adventure,Charlie and the Chocolate Factory ,320284,57844,1361,English,USA,PG,1.50E+08,2005,6.7,1.85,0
116,Brad Bird,318,111,206435493,Animation,Ratatouille ,473887,4764,626,English,USA,G,1.50E+08,2007,8,2.35,10000
117,Christopher Nolan,478,128,205343774,Action,Batman Begins ,980946,59558,2685,English,USA,PG-13,1.50E+08,2005,8.3,2.35,15000
118,Eric Darnell,167,89,179982968,Action,Madagascar: Escape 2 Africa ,146019,3285,119,English,USA,PG,1.50E+08,2008,6.7,1.85,0
119,Shawn Levy,185,105,177243721,Adventure,Night at the Museum: Battle of the Smithsonian ,130272,54039,209,English,USA,PG,1.50E+08,2009,5.9,2.35,2000
120,Gavin Hood,350,119,179883016,Action,X-Men Origins: Wolverine ,361924,40054,641,English,USA,PG-13,1.50E+08,2009,6.7,2.35,0
121,Lana Wachowski,245,129,139259759,Action,The Matrix Revolutions ,364948,1062,2121,English,Australia,R,1.50E+08,2003,6.7,2.35,0
122,Chris Buck,406,102,400736600,Adventure,Frozen ,421658,2582,904,English,USA,PG,1.50E+08,2013,7.6,2.24,58000
123,Lana Wachowski,275,138,281492479,Action,The Matrix Reloaded ,421818,534,2789,English,USA,R,1.50E+08,2003,7.2,2.35,0
124,Alan Taylor,486,112,206360018,Action,Thor: The Dark World ,414070,59803,532,English,USA,PG-13,1.70E+08,2013,7.1,2.35,63000
125,George Miller,739,120,153629485,Action,Mad Max: Fury Road ,552503,40025,1588,English,Australia,R,1.50E+08,2015,8.1,2.35,191000
126,Ron Howard,298,146,133375846,Mystery,Angels & Demons ,207839,16948,435,English,USA,PG-13,1.50E+08,2009,6.7,2.35,0
127,Kenneth Branagh,516,115,181015141,Action,Thor ,536314,60059,738,English,USA,PG-13,1.50E+08,2011,7,2.35,63000
128,Byron Howard,225,96,114053579,Adventure,Bolt ,146766,20007,178,English,USA,PG,1.50E+08,2008,6.9,1.85,0
129,Hoyt Yeatman,145,88,119420252,Action,G-Force ,33042,2217,90,English,USA,PG,1.50E+08,2009,5.1,2.35,0
130,Jonathan Liebesman,310,99,83640426,Action,Wrath of the Titans ,152826,16184,253,English,USA,PG-13,1.50E+08,2012,5.8,1.85,19000
131,Tim Burton,526,113,79711678,Comedy,Dark Shadows ,199039,80849,479,English,USA,PG-13,1.00E+08,2012,6.2,1.85,82000
132,Christopher McQuarrie,465,131,195000874,Action,Mission: Impossible - Rogue Nation ,232187,21840,440,English,China,PG-13,1.50E+08,2015,7.4,2.35,47000
133,Joe Johnston,357,119,61937495,Drama,The Wolfman ,89442,13071,432,English,USA,R,1.50E+08,2010,5.8,1.85,0
134,David Yates,248,110,124051759,Action,The Legend of Tarzan ,42372,21175,239,English,USA,PG-13,1.80E+08,2016,6.6,2.35,29000
135,Steve Hickner,194,91,126597121,Adventure,Bee Movie ,105902,6576,206,English,USA,PG,1.50E+08,2007,6.2,1.85,0
136,Jennifer Yuh Nelson,284,90,165230261,Action,Kung Fu Panda 2 ,182718,21015,209,English,USA,PG,1.50E+08,2011,7.3,2.35,20000
137,M. Night Shyamalan,280,103,131564731,Action,The Last Airbender ,118951,2857,1382,English,USA,PG,1.50E+08,2010,4.2,2.35,18000
138,J.J. Abrams,310,124,133382309,Action,Mission: Impossible III ,256695,34817,871,English,USA,PG-13,1.50E+08,2006,6.9,2.35,0
139,Roland Emmerich,339,131,73103784,Action,White House Down ,164238,18204,434,English,USA,PG-13,1.50E+08,2013,6.4,2.35,33000
140,Simon Wells,132,88,21379315,Action,Mars Needs Moms ,17590,2652,112,English,USA,PG,1.50E+08,2011,5.4,2.35,0
141,David Bowers,135,85,64459316,Adventure,Flushed Away ,85086,35161,122,English,UK,PG,1.49E+08,2006,6.7,1.85,0
142,Joe Wright,256,111,34964818,Adventure,Pan ,39956,21393,186,English,USA,PG,1.50E+08,2015,5.8,2.35,24000
143,Rob Minkoff,196,92,111505642,Adventure,Mr. Peabody & Sherman ,47900,5810,130,English,USA,PG,1.45E+08,2014,6.9,1.85,11000
144,Wolfgang Petersen,220,196,133228348,Adventure,Troy ,381672,17944,1694,English,USA,R,1.75E+08,2004,7.2,2.35,0
145,Eric Darnell,211,93,216366733,Adventure,Madagascar 3: Europe's Most Wanted ,119213,2444,154,English,USA,PG,1.45E+08,2012,6.9,1.85,17000
146,Lee Tamahori,264,133,160201106,Action,Die Another Day ,169914,2538,1185,English,UK,PG-13,1.42E+08,2002,6.1,2.35,0
147,Paul Feig,464,116,118099659,Action,Ghostbusters ,69757,2097,1211,English,USA,PG-13,1.44E+08,2016,5.5,2.35,62000
148,Michael Bay,167,153,201573391,Action,Armageddon ,322395,26029,1171,English,USA,PG-13,1.40E+08,1998,6.6,2.35,11000
149,Barry Sonnenfeld,208,88,190418803,Action,Men in Black II ,270207,14823,606,English,USA,PG-13,1.40E+08,2002,6.1,1.85,2000
150,Robert Zemeckis,287,115,82161969,Action,Beowulf ,142440,31523,505,English,USA,PG-13,1.50E+08,2007,6.3,2.35,3000
151,Alessandro Carloni,210,95,143523463,Action,Kung Fu Panda 3 ,64322,36095,145,English,USA,PG,1.45E+08,2016,7.2,2.35,24000
152,Brad Bird,432,133,209364921,Action,Mission: Impossible - Ghost Protocol ,365104,21768,512,English,USA,PG-13,1.45E+08,2011,7.4,2.35,35000
153,Peter Ramsey,256,97,103400692,Adventure,Rise of the Guardians ,123553,20645,174,English,USA,PG,1.45E+08,2012,7.3,1.85,25000
154,Dean Parisot,135,90,110332737,Comedy,Fun with Dick and Jane ,110788,1997,258,English,USA,PG-13,1.00E+08,2005,6.1,2.35,2000
155,Edward Zwick,190,154,111110575,Action,The Last Samurai ,317166,11945,928,English,USA,R,1.40E+08,2003,7.7,2.35,0
156,Ridley Scott,314,150,65007045,Action,Exodus: Gods and Kings ,128682,26490,657,English,UK,PG-13,1.40E+08,2014,6.1,2.35,51000
157,J.J. Abrams,518,127,257704099,Action,Star Trek ,504419,39284,1559,English,USA,PG-13,1.50E+08,2009,8,2.35,19000
158,Sam Raimi,291,121,403706375,Action,Spider-Man ,544665,40484,2012,English,USA,PG-13,1.39E+08,2002,7.3,1.85,5000
159,Dean DeBlois,292,102,176997107,Action,How to Train Your Dragon 2 ,221128,23378,343,English,USA,PG,1.45E+08,2014,7.9,2.35,46000
160,Alex Proyas,184,126,31141074,Action,Gods of Egypt ,51892,19769,273,English,USA,PG-13,1.40E+08,2016,5.5,2.35,24000
161,Rob Cohen,145,121,31704416,Action,Stealth ,45455,2705,388,English,USA,PG-13,1.35E+08,2005,5,2.35,0
162,Zack Snyder,451,215,107503316,Action,Watchmen ,392474,2530,1229,English,USA,R,1.30E+08,2009,7.7,2.35,18000
163,Richard Donner,141,127,129734803,Action,Lethal Weapon 4 ,127497,6171,287,English,USA,R,1.40E+08,1998,6.6,2.35,0
164,Ang Lee,267,138,132122995,Action,Hulk ,212106,1814,1445,English,USA,PG-13,1.37E+08,2003,5.7,1.85,0
165,Jon M. Chu,351,122,122512052,Action,G.I. Joe: Retaliation ,146352,31958,288,English,USA,PG-13,1.30E+08,2013,5.8,2.35,42000
166,Breck Eisner,163,124,68642452,Action,Sahara ,77673,13073,463,English,UK,PG-13,1.30E+08,2005,6,2.35,0
167,Hironobu Sakaguchi,166,106,32131830,Action,Final Fantasy: The Spirits Within ,72259,15015,788,English,USA,PG-13,1.37E+08,2001,6.4,1.85,0
168,Joe Johnston,510,124,176636816,Action,Captain America: The First Avenger ,508818,19761,679,English,USA,PG-13,1.40E+08,2011,6.9,2.35,46000
169,Michael Apted,197,128,126930660,Action,The World Is Not Enough ,157519,2037,683,English,UK,PG-13,1.35E+08,1999,6.4,2.35,2000
170,Peter Weir,244,138,93926386,Action,Master and Commander: The Far Side of the World ,168207,1205,684,English,USA,PG-13,1.50E+08,2003,7.4,2.35,0
171,Bill Condon,322,115,292298923,Adventure,The Twilight Saga: Breaking Dawn - Part 2 ,185394,59177,329,English,USA,PG-13,1.20E+08,2012,5.5,2.35,65000
172,George Miller,156,100,63992328,Animation,Happy Feet 2 ,32399,62644,79,English,Australia,PG,1.35E+08,2011,5.9,2.35,0
173,Louis Leterrier,354,135,134518390,Action,The Incredible Hulk ,326286,5811,643,English,USA,PG-13,1.50E+08,2008,6.8,2.35,0
174,Steven Spielberg,252,117,52792307,Adventure,The BFG ,12572,1950,106,English,UK,PG,1.40E+08,2016,6.8,2.35,27000
175,Alejandro G. Iñárritu,556,156,183635922,Adventure,The Revenant ,406020,57108,1188,English,USA,R,1.35E+08,2015,8.1,2.35,190000
176,David Soren,166,96,83024900,Adventure,Turbo ,62424,17416,90,English,USA,PG,1.35E+08,2013,6.5,2.35,13000
177,Gore Verbinski,362,107,123207194,Adventure,Rango ,183208,43291,337,English,USA,PG,1.35E+08,2011,7.2,2.35,26000
178,Eric Darnell,153,92,83348920,Adventure,Penguins of Madagascar ,60230,19963,118,English,USA,PG,1.32E+08,2014,6.7,1.85,11000
179,Paul Greengrass,329,115,227137090,Action,The Bourne Ultimatum ,491077,17369,820,English,USA,PG-13,1.10E+08,2007,8.1,2.35,0
180,Mark Osborne,266,92,215395021,Action,Kung Fu Panda ,307029,12754,360,English,USA,PG,1.30E+08,2008,7.6,2.35,6000
181,Peyton Reed,517,117,180191634,Action,Ant-Man ,313866,5730,549,English,USA,PG-13,1.30E+08,2015,7.4,1.85,61000
182,Francis Lawrence,502,146,424645577,Adventure,The Hunger Games: Catching Fire ,498397,49355,706,English,USA,PG-13,1.30E+08,2013,7.6,2.35,82000
183,Bill Condon,322,115,292298923,Adventure,The Twilight Saga: Breaking Dawn - Part 2 ,185394,59177,329,English,USA,PG-13,1.20E+08,2012,5.5,2.35,65000
184,Tim Johnson,165,94,177343675,Adventure,Home ,70121,17883,214,English,USA,PG,1.35E+08,2015,6.7,1.85,26000
185,Steven Spielberg,401,116,234277056,Adventure,War of the Worlds ,334345,12758,2741,English,USA,PG-13,1.32E+08,2005,6.5,1.85,0
186,Michael Bay,94,147,138396624,Action,Bad Boys II ,178126,12954,511,English,USA,R,1.30E+08,2003,6.6,2.35,0
187,Chris Miller,246,90,149234747,Action,Puss in Boots ,114287,5046,137,English,USA,PG,1.30E+08,2011,6.7,2.35,16000
188,Phillip Noyce,330,101,118311368,Action,Salt ,245621,12406,514,English,USA,PG-13,1.10E+08,2010,6.4,2.35,23000
189,Darren Aronofsky,434,138,101160529,Action,Noah ,200022,32355,1240,English,USA,PG-13,1.25E+08,2014,5.8,1.85,71000
190,Steven Spielberg,440,107,77564037,Action,The Adventures of Tintin ,177383,4631,447,English,USA,PG,1.35E+08,2011,7.4,2.35,44000
191,Alfonso Cuarón,274,142,249358727,Adventure,Harry Potter and the Prisoner of Azkaban ,382255,33284,1504,English,UK,PG,1.30E+08,2004,7.8,2.35,11000
192,Baz Luhrmann,245,165,49551662,Adventure,Australia ,102338,921,450,English,Australia,PG-13,1.30E+08,2008,6.6,2.35,0
193,M. Night Shyamalan,349,100,60522097,Action,After Earth ,158720,14168,744,English,USA,PG-13,1.30E+08,2013,4.9,2.35,37000
194,Eric Leighton,145,82,137748063,Adventure,Dinosaur ,38438,2945,241,English,USA,PG,127500000,2000,6.5,1.85,0
